column,classification,rationale,dtype,missing_rate,cardinality_non_null,first_opening_with_value,last_opening_with_value,value_timestamp_min,value_timestamp_max,priority_levels_with_value,p2_non_null_rate,p3_non_null_rate,monthly_missingness_range,early_vs_2025_drift_tv_or_missing
Número,unusable or sensitive,Unique incident identifier; no stable generalizable signal.,str,0.0,122543,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,1.0000000000000004
Prioridade,available at incident opening,Priority is required for OLA routing at opening.,str,0.0,5,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.3143481752368053
Produto,available at incident opening,Opening classification; missingness is retained explicitly.,str,0.6359808393788303,51,2023-01-02T20:19:58,2025-12-31T18:06:15,,,5,0.6481564317208768,0.5918000575098246,0.8907067823286117,0.644247876973972
Categoria,available at incident opening,Opening classification; missingness is retained explicitly.,str,0.634234513599308,141,2023-01-02T20:19:58,2025-12-31T18:06:15,,,5,0.6495622723496709,0.5957778203776478,0.8901577541085611,0.6888180776158066
Subcategoria,available at incident opening,Opening classification; missingness is retained explicitly.,str,0.6342263531984691,447,2023-01-02T20:19:58,2025-12-31T18:06:15,,,5,0.6495622723496709,0.5958017828045624,0.8901577541085611,0.7584627991056465
Grupo designado,temporally uncertain,Single snapshot cannot verify initial versus reassigned group.,str,0.0,17,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.6452520753170737
Item de configuração,available at incident opening,Affected configuration item is captured on creation.,str,0.014525513493222788,9171,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,0.9839606364623937,0.9786255151921787,0.125,0.868052105983591
Aberto,available at incident opening,Scoring timestamp and calendar source.,datetime64[us],0.0,121995,2023-01-02T20:19:58,2025-12-31T23:45:18,2023-01-02T20:19:58,2025-12-31T23:45:18,5,1.0,1.0,0.0,0.0
Resolvido,known only after the outcome,Resolution timestamp occurs after opening.,datetime64[us],0.6716173098422594,37446,2023-01-02T20:19:58,2025-12-31T18:06:15,2024-12-27T00:50:52,2025-12-31T19:36:58,5,0.5932008435043773,0.5536518738617847,0.9171699425350464,0.9171699425350464
Encerrado,known only after the outcome,Closure timestamp occurs after opening.,datetime64[us],0.0,108158,2023-01-02T20:19:58,2025-12-31T23:45:18,2025-01-01T00:10:45,2025-12-31T23:45:32,5,1.0,1.0,0.0,0.0
Duração,direct target leakage,Duration is known only after resolution and proxies OLA outcome.,int64,0.0,25074,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.9877563728239209
Código de fechamento,known only after the outcome,Defined during closure.,str,0.6670230041699649,17,2023-01-02T20:19:58,2025-12-31T18:06:15,,,5,0.5501949006326283,0.5581568101217291,0.9165477105523224,0.6685473572267491
Descrição resumida,available at incident opening,Opening text; used only in-memory with fold-fitted vectorization.,str,0.0,18021,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.8894289025105765
Solução,known only after the outcome,Recorded during resolution.,str,0.8751458671649951,2,2023-01-11T15:25:46,2025-12-31T18:06:15,,,4,0.20161032653843697,0.21520655612000383,0.8360860860860861,0.07668577357568138
Aberto por,available at incident opening,Opening source is known when the record is created.,str,0.0,2,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.5909906765443715
Incidente Pai,temporally uncertain,Parent linkage may be assigned after opening; audit trail absent.,str,0.876557616510123,3326,2023-10-23T21:30:46,2025-12-31T11:36:35,,,4,0.5073167614544061,0.1170564554778108,0.24399399399399402,0.12365878286854226
Status,known only after the outcome,Snapshot status is a post-opening mutable state.,str,0.0,4,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.6813010014214891
Entrou para KPI?,temporally uncertain,"Used only to define the historical cohort, never as a feature.",str,0.0,2,2023-01-02T20:19:58,2025-12-31T23:45:18,,,5,1.0,1.0,0.0,0.4000407242017363
KPI Violado?,direct target leakage,Business ground truth and prediction target.,str,0.7910937385244363,2,2023-01-02T20:19:58,2025-12-31T18:06:15,,,2,0.3296696274522334,0.4898159685612959,0.947915522857875,0.4000407242017363
